District,# of Dem. Votes,# of Rep. Votes,# of Ind. Votes,Total # of Votes,Seat Makeup Rep/Total,Conested?,# of Seats,# of Dem. Cand.,# of Rep. Cand.,# of Ind. Cand. 
Rockingham No. 1,701,965,0,1666,(1/1),TRUE,1,1,1,0
Rockingham No. 2,5900,8973,0,14873,(3/3),TRUE,1,3,3,0
Rockingham No. 3,0,"5,993",126,6119,(3/3),FALSE,3,0,3,0
Rockingham No. 4,"4,426","18,873",13,23312,(5/5),TRUE,5,2,5,0
Rockingham No. 5,"19,323","32,879",50,52252,(7/7),TRUE,7,7,7,0
Rockingham No. 6,"14,481","26,491",0,40972,(10/10),TRUE,10,4,10,0
Rockingham No. 7,"4,261","13,708",1370,19339,(4/4),TRUE,4,3,4,1
Rockingham No. 8,"19,909","45,373",51,65333,(9/9),TRUE,9,7,9,0
Rockingham No. 9,"1,901","2,435",6,4342,(2/2),TRUE,2,2,2,0
Rockingham No. 10,0,"1,218",35,1253,(1/1),FALSE,1,0,1,0
Rockingham No. 11,0,"1,224",19,1243,(1/1),FALSE,1,0,1,0
Rockingham No. 12,466,"1,043",6,1515,(1/1),TRUE,1,1,1,0
Rockingham No. 13,"6,955","13,932",6,20893,(4/4),TRUE,4,4,4,0
Rockingham No. 14,"6,733","13,468",3,20204,(4/4),TRUE,4,4,4,0
Rockingham No. 15,0,"1,253",25,1278,(1/1),FALSE,1,0,1,0
Rockingham No. 16,899,"1,557",1,2457,(1/1),TRUE,1,1,1,0
Rockingham No. 17,"6,011","3,741",2,9754,(1/3),TRUE,3,3,2,0
Rockingham No. 18,"13,125","9,661",0,22786,(0/4),TRUE,4,4,4,0
Rockingham No. 19,"3,149","3,649",0,6798,(2/2),TRUE,2,2,2,0
Rockingham No. 20,"2,699","5,621",7,8327,(3/3),TRUE,3,2,3,0
Rockingham No. 21,"10,788","13,339",45,24172,(3/4),TRUE,4,4,4,0
Rockingham No. 22,893,"1,290",1,2184,(1/1),TRUE,1,1,1,0
Rockingham No. 23,823,"1,432",5,2260,(1/1),TRUE,1,1,1,0
Rockingham No. 24,"3,815","3,210",1,7026,(0/2),TRUE,2,2,2,0
Rockingham No. 25,"1,338",0,0,1338,(0/1),FALSE,1,1,0,0
Rockingham No. 26,"1,525",0,0,1525,(0/1),FALSE,1,1,0,0
Rockingham No. 27,"1,106",0,0,1106,(0/1),FALSE,1,1,0,0
Rockingham No. 28,984,0,0,984,(0/1),FALSE,1,1,0,0
Rockingham No. 29,"1,360",0,14,1374,(0/1),FALSE,1,1,0,0
Rockingham No. 30,"4,051",0,"2,364",6415,(0/1),TRUE,1,1,0,1
Rockingham No. 31,"2,767","3,100",8,5875,(1/1),TRUE,1,1,1,0
Rockingham No. 32,"3,256","3,934",1,7191,(1/1),TRUE,1,1,1,0
Rockingham No. 33,"1,664","3,167",10,4841,(1/1),TRUE,1,1,1,0
Rockingham No. 34,"3,742","7,351",4,11097,(1/1),TRUE,1,1,1,0
Rockingham No. 35,"1,524","2,533",1,4058,(1/1),TRUE,1,1,1,0
Rockingham No. 36,"7,840","5,759",3,13602,(0/1),TRUE,1,1,1,0
Rockingham No. 37,"4,016","6,035",21,10072,(1/1),TRUE,1,1,1,0
Strafford No. 1,"1,521","2,210",7,3738,(2/2),TRUE,2,2,2,0
Strafford No. 2,"1,402","1,938",0,3340,(2/2),TRUE,2,2,2,0
Strafford No. 3,"2,403","2,955",2,5360,(2/2),TRUE,2,2,2,0
Strafford No. 4,"3,229","3,112",0,6341,(1/2),TRUE,2,2,2,0
Strafford No. 5,"1,368",0,14,1382,(0/1),FALSE,1,1,0,0
Strafford No. 6,"16,238","1,701",2,17941,(0/5),TRUE,5,5,1,0
Strafford No. 7,864,800,1,1665,(0/1),TRUE,1,1,1,0
Strafford No. 8,532,706,1,1239,(1/1),TRUE,1,1,1,0
Strafford No. 9,813,901,2,1716,(1/1),TRUE,1,1,1,0
Strafford No. 10,682,823,2,1507,(1/1),TRUE,1,1,1,0
Strafford No. 11,726,771,4,1501,(1/1),TRUE,1,1,1,0
Strafford No. 12,760,786,0,1546,(1/1),TRUE,1,1,1,0
Strafford No. 13,1095,524,0,1619,(0/1),TRUE,1,1,1,0
Strafford No. 14,1048,530,0,1578,(0/1),TRUE,1,1,1,0
Strafford No. 15,1213,1027,0,2240,(0/1),TRUE,1,1,1,0
Strafford No. 16,1176,754,2,1932,(0/1),TRUE,1,1,1,0
Strafford No. 17,4963,4805,2,9770,(1/3),TRUE,3,3,3,0
Strafford No. 18,5501,3136,0,8637,(0/3),TRUE,3,3,2,0
Strafford No. 19,2055,1134,0,3189,(0/1),TRUE,1,1,1,0
Strafford No. 20,2228,1878,1,4107,(0/1),TRUE,1,1,1,0
Strafford No. 21,3821,3183,2,7006,(0/1),TRUE,1,1,1,0
Strafford No. 22,1405,1457,5,2867,(1/1),TRUE,1,1,1,1
Strafford No. 23,1446,1612,4,3062,(1/1),TRUE,1,1,1,0
Strafford No. 24,1256,1770,0,3026,(1/1),TRUE,1,1,1,0
Strafford No. 25,2434,2548,0,4982,(1/1),TRUE,1,1,1,0
